id	url	filename
pg1342	https://www.gutenberg.org/cache/epub/1342/pg1342.txt	pg1342_pride_and_prejudice.txt
pg84	https://www.gutenberg.org/cache/epub/84/pg84.txt	pg84_frankenstein.txt
pg11	https://www.gutenberg.org/cache/epub/11/pg11.txt	pg11_alice_in_wonderland.txt
pg2701	https://www.gutenberg.org/cache/epub/2701/pg2701.txt	pg2701_moby_dick.txt
pg1661	https://www.gutenberg.org/cache/epub/1661/pg1661.txt	pg1661_sherlock_holmes.txt
pg98	https://www.gutenberg.org/cache/epub/98/pg98.txt	pg98_tale_of_two_cities.txt
pg74	https://www.gutenberg.org/cache/epub/74/pg74.txt	pg74_tom_sawyer.txt
pg76	https://www.gutenberg.org/cache/epub/76/pg76.txt	pg76_huckleberry_finn.txt
pg174	https://www.gutenberg.org/cache/epub/174/pg174.txt	pg174_dorian_gray.txt
pg345	https://www.gutenberg.org/cache/epub/345/pg345.txt	pg345_dracula.txt
pg43	https://www.gutenberg.org/cache/epub/43/pg43.txt	pg43_jekyll_and_hyde.txt
pg1232	https://www.gutenberg.org/cache/epub/1232/pg1232.txt	pg1232_the_prince.txt
pg844	https://www.gutenberg.org/cache/epub/844/pg844.txt	pg844_earnest.txt
pg5200	https://www.gutenberg.org/cache/epub/5200/pg5200.txt	pg5200_metamorphosis.txt
pg1400	https://www.gutenberg.org/cache/epub/1400/pg1400.txt	pg1400_great_expectations.txt
pg158	https://www.gutenberg.org/cache/epub/158/pg158.txt	pg158_emma.txt
pg205	https://www.gutenberg.org/cache/epub/205/pg205.txt	pg205_walden.txt
pg120	https://www.gutenberg.org/cache/epub/120/pg120.txt	pg120_treasure_island.txt
pg2542	https://www.gutenberg.org/cache/epub/2542/pg2542.txt	pg2542_dolls_house.txt
pg36	https://www.gutenberg.org/cache/epub/36/pg36.txt	pg36_war_of_the_worlds.txt
